Content,Label,Cleantext,Case_Folding,Tokenization,Stopword_Removal,Stemming
ðŸ‘Œ,Negatif,,,[''],,
Pelayanan nya sangat bagus dan merekomendasi bgtðŸ‘,Positif,Pelayanan nya sangat bagus dan merekomendasi bgt,pelayanan nya sangat bagus dan merekomendasi bgt,"['pelayanan', 'nya', 'sangat', 'bagus', 'dan', 'merekomendasi', 'bgt']",pelayanan nya bagus merekomendasi bgt,layan nya bagus rekomendasi bgt
Aplikasi yang sangat membantu,Positif,Aplikasi yang sangat membantu,aplikasi yang sangat membantu,"['aplikasi', 'yang', 'sangat', 'membantu']",aplikasi membantu,aplikasi bantu
Bagussss,Positif,Bagussss,bagussss,['bagussss'],bagussss,bagussss
Bagus memudahkan untuk telemedicine,Positif,Bagus memudahkan untuk telemedicine,bagus memudahkan untuk telemedicine,"['bagus', 'memudahkan', 'untuk', 'telemedicine']",bagus memudahkan telemedicine,bagus mudah telemedicine
Sejauh ini berguna yaa Cuma Konsul dokter nya terlalu cepat bngt dan terkesan buru2,Negatif,Sejauh ini berguna yaa Cuma Konsul dokter nya terlalu cepat bngt dan terkesan buru,sejauh ini berguna yaa cuma konsul dokter nya terlalu cepat bngt dan terkesan buru,"['sejauh', 'ini', 'berguna', 'yaa', 'cuma', 'konsul', 'dokter', 'nya', 'terlalu', 'cepat', 'bngt', 'dan', 'terkesan', 'buru']",berguna yaa konsul dokter nya cepat bngt terkesan buru,guna yaa konsul dokter nya cepat bngt kes buru
sgt menjadi solusi,Positif,sgt menjadi solusi,sgt menjadi solusi,"['sgt', 'menjadi', 'solusi']",sgt solusi,sgt solusi
Dokter fast respon,Positif,Dokter fast respon,dokter fast respon,"['dokter', 'fast', 'respon']",dokter fast respon,dokter fast respon
Dokter anak h riza. Sangat telaten dan sabar sangat teliti saat diagnosa pasien engga tergesa2 dn terburu buru,Positif,Dokter anak h riza Sangat telaten dan sabar sangat teliti saat diagnosa pasien engga tergesa dn terburu buru,dokter anak h riza sangat telaten dan sabar sangat teliti saat diagnosa pasien engga tergesa dn terburu buru,"['dokter', 'anak', 'h', 'riza', 'sangat', 'telaten', 'dan', 'sabar', 'sangat', 'teliti', 'saat', 'diagnosa', 'pasien', 'engga', 'tergesa', 'dn', 'terburu', 'buru']",dokter anak h riza telaten sabar teliti diagnosa pasien engga tergesa dn terburu buru,dokter anak h riza telaten sabar teliti diagnosa pasien engga gesa dn buru buru
Terima kasih tim halodoc. Saya sangat terbantu dengan aplikasi ini,Positif,Terima kasih tim halodoc Saya sangat terbantu dengan aplikasi ini,terima kasih tim halodoc saya sangat terbantu dengan aplikasi ini,"['terima', 'kasih', 'tim', 'halodoc', 'saya', 'sangat', 'terbantu', 'dengan', 'aplikasi', 'ini']",terima kasih tim halodoc terbantu aplikasi,terima kasih tim halodoc bantu aplikasi
Alhamdulillah bisa konsul dg DSA Dr. Dominggus,Positif,Alhamdulillah bisa konsul dg DSA Dr Dominggus,alhamdulillah bisa konsul dg dsa dr dominggus,"['alhamdulillah', 'bisa', 'konsul', 'dg', 'dsa', 'dr', 'dominggus']",alhamdulillah konsul dg dsa dr dominggus,alhamdulillah konsul dg dsa dr dominggus
Seruuu apk nya,Positif,Seruuu apk nya,seruuu apk nya,"['seruuu', 'apk', 'nya']",seruuu apk nya,seruuu apk nya
Baik sekali,Positif,Baik sekali,baik sekali,"['baik', 'sekali']",,
"Sangat kebantu banget, bnyk pilihan dokter yg ramah. Efisien krn menghemat waktu",Positif,Sangat kebantu banget bnyk pilihan dokter yg ramah Efisien krn menghemat waktu,sangat kebantu banget bnyk pilihan dokter yg ramah efisien krn menghemat waktu,"['sangat', 'kebantu', 'banget', 'bnyk', 'pilihan', 'dokter', 'yg', 'ramah', 'efisien', 'krn', 'menghemat', 'waktu']",kebantu banget bnyk pilihan dokter yg ramah efisien krn menghemat,bantu banget bnyk pilih dokter yg ramah efisien krn hemat
Sangat membantu,Positif,Sangat membantu,sangat membantu,"['sangat', 'membantu']",membantu,bantu
Keren,Positif,Keren,keren,['keren'],keren,keren
Bagus,Positif,Bagus,bagus,['bagus'],bagus,bagus
"Untuk terakhir kalinya saya menggunakan halodoc. Jawaban Dokternya tidak memuaskan, buang2 uang aja.",Negatif,Untuk terakhir kalinya saya menggunakan halodoc Jawaban Dokternya tidak memuaskan buang uang aja,untuk terakhir kalinya saya menggunakan halodoc jawaban dokternya tidak memuaskan buang uang aja,"['untuk', 'terakhir', 'kalinya', 'saya', 'menggunakan', 'halodoc', 'jawaban', 'dokternya', 'tidak', 'memuaskan', 'buang', 'uang', 'aja']",kalinya halodoc dokternya memuaskan buang uang aja,kali halodoc dokter muas buang uang aja
sangat membantu bgt,Positif,sangat membantu bgt,sangat membantu bgt,"['sangat', 'membantu', 'bgt']",membantu bgt,bantu bgt
Bagus cepat nelayani,Positif,Bagus cepat nelayani,bagus cepat nelayani,"['bagus', 'cepat', 'nelayani']",bagus cepat nelayani,bagus cepat nelayan
Waktu diskusinya singkat sekali,Negatif,Waktu diskusinya singkat sekali,waktu diskusinya singkat sekali,"['waktu', 'diskusinya', 'singkat', 'sekali']",diskusinya singkat,diskusi singkat
terbaik,Positif,terbaik,terbaik,['terbaik'],terbaik,baik
Sangat membantu semoga saya bisa kembali smbuh,Positif,Sangat membantu semoga saya bisa kembali smbuh,sangat membantu semoga saya bisa kembali smbuh,"['sangat', 'membantu', 'semoga', 'saya', 'bisa', 'kembali', 'smbuh']",membantu semoga smbuh,bantu moga smbuh
Kode Kupon tidak bisa digunakan,Negatif,Kode Kupon tidak bisa digunakan,kode kupon tidak bisa digunakan,"['kode', 'kupon', 'tidak', 'bisa', 'digunakan']",kode kupon,kode kupon
Puas,Positif,Puas,puas,['puas'],puas,puas
Keren,Positif,Keren,keren,['keren'],keren,keren
Betul betul solusi dikala dalam perjalanan jauh,Positif,Betul betul solusi dikala dalam perjalanan jauh,betul betul solusi dikala dalam perjalanan jauh,"['betul', 'betul', 'solusi', 'dikala', 'dalam', 'perjalanan', 'jauh']",solusi dikala perjalanan,solusi kala jalan
Sangat membantu sekali adanya halodoc ini,Positif,Sangat membantu sekali adanya halodoc ini,sangat membantu sekali adanya halodoc ini,"['sangat', 'membantu', 'sekali', 'adanya', 'halodoc', 'ini']",membantu halodoc,bantu halodoc
Terima kasih ðŸ™,Positif,Terima kasih,terima kasih,"['terima', 'kasih']",terima kasih,terima kasih
kalo bagus saya kasih lima,Positif,kalo bagus saya kasih lima,kalo bagus saya kasih lima,"['kalo', 'bagus', 'saya', 'kasih', 'lima']",kalo bagus kasih,kalo bagus kasih
"Mudah digunakan, proses cepat,dokter-dokternya profesional.dan obat yang di dapat cepat qualitas bagus",Positif,Mudah digunakan proses cepat dokter dokternya profesional dan obat yang di dapat cepat qualitas bagus,mudah digunakan proses cepat dokter dokternya profesional dan obat yang di dapat cepat qualitas bagus,"['mudah', 'digunakan', 'proses', 'cepat', 'dokter', 'dokternya', 'profesional', 'dan', 'obat', 'yang', 'di', 'dapat', 'cepat', 'qualitas', 'bagus']",mudah proses cepat dokter dokternya profesional obat cepat qualitas bagus,mudah proses cepat dokter dokter profesional obat cepat qualitas bagus
Sangat membantu,Positif,Sangat membantu,sangat membantu,"['sangat', 'membantu']",membantu,bantu
"Aplikasi sangat aman dan rekomendasi ðŸ™ðŸ» kalo lagi sakit ,bantu banget buat cari obat,nanti tinggal ke depan,ngga usah lagi ke apotek cari cari obatnya,bisa langsung aja ke rumah. Yang bikin saya senang itu karena saya tinggal di pinggir kota,dulu obat blm sampai ke rumah saya, skrg sampai dan bikin saya bahagia banget, beberapa kali sudah bantu saya dengan cari obat dan anterin ke rumah â¤ï¸â¤ï¸â¤ï¸",Positif,Aplikasi sangat aman dan rekomendasi kalo lagi sakit bantu banget buat cari obat nanti tinggal ke depan ngga usah lagi ke apotek cari cari obatnya bisa langsung aja ke rumah Yang bikin saya senang itu karena saya tinggal di pinggir kota dulu obat blm sampai ke rumah saya skrg sampai dan bikin saya bahagia banget beberapa kali sudah bantu saya dengan cari obat dan anterin ke rumah,aplikasi sangat aman dan rekomendasi kalo lagi sakit bantu banget buat cari obat nanti tinggal ke depan ngga usah lagi ke apotek cari cari obatnya bisa langsung aja ke rumah yang bikin saya senang itu karena saya tinggal di pinggir kota dulu obat blm sampai ke rumah saya skrg sampai dan bikin saya bahagia banget beberapa kali sudah bantu saya dengan cari obat dan anterin ke rumah,"['aplikasi', 'sangat', 'aman', 'dan', 'rekomendasi', 'kalo', 'lagi', 'sakit', 'bantu', 'banget', 'buat', 'cari', 'obat', 'nanti', 'tinggal', 'ke', 'depan', 'ngga', 'usah', 'lagi', 'ke', 'apotek', 'cari', 'cari', 'obatnya', 'bisa', 'langsung', 'aja', 'ke', 'rumah', 'yang', 'bikin', 'saya', 'senang', 'itu', 'karena', 'saya', 'tinggal', 'di', 'pinggir', 'kota', 'dulu', 'obat', 'blm', 'sampai', 'ke', 'rumah', 'saya', 'skrg', 'sampai', 'dan', 'bikin', 'saya', 'bahagia', 'banget', 'beberapa', 'kali', 'sudah', 'bantu', 'saya', 'dengan', 'cari', 'obat', 'dan', 'anterin', 'ke', 'rumah']",aplikasi aman rekomendasi kalo sakit bantu banget cari obat tinggal ngga apotek cari cari obatnya langsung aja rumah bikin senang tinggal pinggir kota obat blm rumah skrg bikin bahagia banget kali bantu cari obat anterin rumah,aplikasi aman rekomendasi kalo sakit bantu banget cari obat tinggal ngga apotek cari cari obat langsung aja rumah bikin senang tinggal pinggir kota obat blm rumah skrg bikin bahagia banget kali bantu cari obat anterin rumah
Pesanan Di Batalkan lebih dari 10x.....!!!! Aplikasi macam apa ini pas di butuhkan malah menyusahkan....!!! Sudah hubungi CS (Dimas) sama saja tidak ada solusi...! Payah....,Negatif,Pesanan Di Batalkan lebih dari x Aplikasi macam apa ini pas di butuhkan malah menyusahkan Sudah hubungi CS Dimas sama saja tidak ada solusi Payah,pesanan di batalkan lebih dari x aplikasi macam apa ini pas di butuhkan malah menyusahkan sudah hubungi cs dimas sama saja tidak ada solusi payah,"['pesanan', 'di', 'batalkan', 'lebih', 'dari', 'x', 'aplikasi', 'macam', 'apa', 'ini', 'pas', 'di', 'butuhkan', 'malah', 'menyusahkan', 'sudah', 'hubungi', 'cs', 'dimas', 'sama', 'saja', 'tidak', 'ada', 'solusi', 'payah']",pesanan batalkan x aplikasi pas butuhkan menyusahkan hubungi cs dimas solusi payah,pesan batal x aplikasi pas butuh susah hubung cs mas solusi payah
"sangat membantu ,dokter nya ramah ramah",Positif,sangat membantu dokter nya ramah ramah,sangat membantu dokter nya ramah ramah,"['sangat', 'membantu', 'dokter', 'nya', 'ramah', 'ramah']",membantu dokter nya ramah ramah,bantu dokter nya ramah ramah
"Aplikasinya bagus, cuman mengapa ada tagihan obat yg harus ditanggung padahal tercover",Positif,Aplikasinya bagus cuman mengapa ada tagihan obat yg harus ditanggung padahal tercover,aplikasinya bagus cuman mengapa ada tagihan obat yg harus ditanggung padahal tercover,"['aplikasinya', 'bagus', 'cuman', 'mengapa', 'ada', 'tagihan', 'obat', 'yg', 'harus', 'ditanggung', 'padahal', 'tercover']",aplikasinya bagus cuman tagihan obat yg ditanggung tercover,aplikasi bagus cuman tagih obat yg tanggung tercover
"BenerÂ² bagus banget apk nya, kita bisa berkonsultasi dimana saja hanya dengan HP. Gak perlu khawatir karena dokter2 nya udah pasti terpercaya.",Positif,Bener bagus banget apk nya kita bisa berkonsultasi dimana saja hanya dengan HP Gak perlu khawatir karena dokter nya udah pasti terpercaya,bener bagus banget apk nya kita bisa berkonsultasi dimana saja hanya dengan hp gak perlu khawatir karena dokter nya udah pasti terpercaya,"['bener', 'bagus', 'banget', 'apk', 'nya', 'kita', 'bisa', 'berkonsultasi', 'dimana', 'saja', 'hanya', 'dengan', 'hp', 'gak', 'perlu', 'khawatir', 'karena', 'dokter', 'nya', 'udah', 'pasti', 'terpercaya']",bener bagus banget apk nya berkonsultasi dimana hp gak khawatir dokter nya udah terpercaya,bener bagus banget apk nya konsultasi mana hp gak khawatir dokter nya udah percaya
"Sangat membantu untuk konsultasi penyakit ringan, pilihan dokternya banyak, harga terjangkau, untuk kita yg tidak punya waktu atau tidak sempat datang ke klinik, konsultasi disini, dapat resep obat. Good job",Positif,Sangat membantu untuk konsultasi penyakit ringan pilihan dokternya banyak harga terjangkau untuk kita yg tidak punya waktu atau tidak sempat datang ke klinik konsultasi disini dapat resep obat Good job,sangat membantu untuk konsultasi penyakit ringan pilihan dokternya banyak harga terjangkau untuk kita yg tidak punya waktu atau tidak sempat datang ke klinik konsultasi disini dapat resep obat good job,"['sangat', 'membantu', 'untuk', 'konsultasi', 'penyakit', 'ringan', 'pilihan', 'dokternya', 'banyak', 'harga', 'terjangkau', 'untuk', 'kita', 'yg', 'tidak', 'punya', 'waktu', 'atau', 'tidak', 'sempat', 'datang', 'ke', 'klinik', 'konsultasi', 'disini', 'dapat', 'resep', 'obat', 'good', 'job']",membantu konsultasi penyakit ringan pilihan dokternya harga terjangkau yg klinik konsultasi resep obat good job,bantu konsultasi sakit ringan pilih dokter harga jangkau yg klinik konsultasi resep obat good job
Terima kasih halodoc,Positif,Terima kasih halodoc,terima kasih halodoc,"['terima', 'kasih', 'halodoc']",terima kasih halodoc,terima kasih halodoc
Terimakasih aplikasi ini sangat membantu,Positif,Terimakasih aplikasi ini sangat membantu,terimakasih aplikasi ini sangat membantu,"['terimakasih', 'aplikasi', 'ini', 'sangat', 'membantu']",terimakasih aplikasi membantu,terimakasih aplikasi bantu
Sangat membantu. Terima kasih halodoc,Positif,Sangat membantu Terima kasih halodoc,sangat membantu terima kasih halodoc,"['sangat', 'membantu', 'terima', 'kasih', 'halodoc']",membantu terima kasih halodoc,bantu terima kasih halodoc
Alhamdulillah saya sangat terbantu dengan dokter yang tersedia di halodoc,Positif,Alhamdulillah saya sangat terbantu dengan dokter yang tersedia di halodoc,alhamdulillah saya sangat terbantu dengan dokter yang tersedia di halodoc,"['alhamdulillah', 'saya', 'sangat', 'terbantu', 'dengan', 'dokter', 'yang', 'tersedia', 'di', 'halodoc']",alhamdulillah terbantu dokter tersedia halodoc,alhamdulillah bantu dokter sedia halodoc
Sangat membantu,Positif,Sangat membantu,sangat membantu,"['sangat', 'membantu']",membantu,bantu
Hp nge hang garaÂ² instal padahal memori masih banyak,Negatif,Hp nge hang gara instal padahal memori masih banyak,hp nge hang gara instal padahal memori masih banyak,"['hp', 'nge', 'hang', 'gara', 'instal', 'padahal', 'memori', 'masih', 'banyak']",hp nge hang gara instal memori,hp nge hang gara instal memori
Sayang pembayaran halo doc tdak fleksibel.. tak bisa tansfer bank,Negatif,Sayang pembayaran halo doc tdak fleksibel tak bisa tansfer bank,sayang pembayaran halo doc tdak fleksibel tak bisa tansfer bank,"['sayang', 'pembayaran', 'halo', 'doc', 'tdak', 'fleksibel', 'tak', 'bisa', 'tansfer', 'bank']",sayang pembayaran halo doc tdak fleksibel tansfer bank,sayang bayar halo doc tdak fleksibel tansfer bank
Membantu ke raguan ibu,Positif,Membantu ke raguan ibu,membantu ke raguan ibu,"['membantu', 'ke', 'raguan', 'ibu']",membantu raguan,bantu ragu
"BAGUSS BNGT HALODOC TUHH ILY DEHHH. saran aja, tolong tambahin payment pakai pulsa :D",Positif,BAGUSS BNGT HALODOC TUHH ILY DEHHH saran aja tolong tambahin payment pakai pulsa D,baguss bngt halodoc tuhh ily dehhh saran aja tolong tambahin payment pakai pulsa d,"['baguss', 'bngt', 'halodoc', 'tuhh', 'ily', 'dehhh', 'saran', 'aja', 'tolong', 'tambahin', 'payment', 'pakai', 'pulsa', 'd']",baguss bngt halodoc tuhh ily dehhh saran aja tolong tambahin payment pakai pulsa d,baguss bngt halodoc tuhh ily dehhh saran aja tolong tambahin payment pakai pulsa d
Dokternya ramah. Resep membantu.,Positif,Dokternya ramah Resep membantu,dokternya ramah resep membantu,"['dokternya', 'ramah', 'resep', 'membantu']",dokternya ramah resep membantu,dokter ramah resep bantu
Tolong untuk pengiriman instan jangan dibuat flat. Karna seringnya beli obat karna urgent. Kami ngga masalah kalo harus bayar sesuai dengan jarak.,Negatif,Tolong untuk pengiriman instan jangan dibuat flat Karna seringnya beli obat karna urgent Kami ngga masalah kalo harus bayar sesuai dengan jarak,tolong untuk pengiriman instan jangan dibuat flat karna seringnya beli obat karna urgent kami ngga masalah kalo harus bayar sesuai dengan jarak,"['tolong', 'untuk', 'pengiriman', 'instan', 'jangan', 'dibuat', 'flat', 'karna', 'seringnya', 'beli', 'obat', 'karna', 'urgent', 'kami', 'ngga', 'masalah', 'kalo', 'harus', 'bayar', 'sesuai', 'dengan', 'jarak']",tolong pengiriman instan flat karna beli obat karna urgent ngga kalo bayar sesuai jarak,tolong kirim instan flat karna beli obat karna urgent ngga kalo bayar sesuai jarak
Selama ini halodoc memudahkan segalanyaaaaa,Positif,Selama ini halodoc memudahkan segalanyaaaaa,selama ini halodoc memudahkan segalanyaaaaa,"['selama', 'ini', 'halodoc', 'memudahkan', 'segalanyaaaaa']",halodoc memudahkan segalanyaaaaa,halodoc mudah segalanyaaaaa
Baik,Positif,Baik,baik,['baik'],,
"sudah lebih dari 3 kali pakai halodoc, Alhamdulillah resep yang di berikan selalu obatÂ² bagus",Positif,sudah lebih dari kali pakai halodoc Alhamdulillah resep yang di berikan selalu obat bagus,sudah lebih dari kali pakai halodoc alhamdulillah resep yang di berikan selalu obat bagus,"['sudah', 'lebih', 'dari', 'kali', 'pakai', 'halodoc', 'alhamdulillah', 'resep', 'yang', 'di', 'berikan', 'selalu', 'obat', 'bagus']",kali pakai halodoc alhamdulillah resep obat bagus,kali pakai halodoc alhamdulillah resep obat bagus
pertama kalinya konsultasi seneng bgt dokternya ramah dan langsung memberikan resep yg baik,Positif,pertama kalinya konsultasi seneng bgt dokternya ramah dan langsung memberikan resep yg baik,pertama kalinya konsultasi seneng bgt dokternya ramah dan langsung memberikan resep yg baik,"['pertama', 'kalinya', 'konsultasi', 'seneng', 'bgt', 'dokternya', 'ramah', 'dan', 'langsung', 'memberikan', 'resep', 'yg', 'baik']",kalinya konsultasi seneng bgt dokternya ramah langsung resep yg,kali konsultasi neng bgt dokter ramah langsung resep yg
"Bagus, pelayanan cepat",Positif,Bagus pelayanan cepat,bagus pelayanan cepat,"['bagus', 'pelayanan', 'cepat']",bagus pelayanan cepat,bagus layan cepat
Semoga bisa membantu,Positif,Semoga bisa membantu,semoga bisa membantu,"['semoga', 'bisa', 'membantu']",semoga membantu,moga bantu
Terima kasih sangat membantu,Positif,Terima kasih sangat membantu,terima kasih sangat membantu,"['terima', 'kasih', 'sangat', 'membantu']",terima kasih membantu,terima kasih bantu
cepat sekali respon dokter dan biaya konsultasi masyaAllah terjangkau dan ada free konsul nantinya dari lifebouy.,Positif,cepat sekali respon dokter dan biaya konsultasi masyaAllah terjangkau dan ada free konsul nantinya dari lifebouy,cepat sekali respon dokter dan biaya konsultasi masyaallah terjangkau dan ada free konsul nantinya dari lifebouy,"['cepat', 'sekali', 'respon', 'dokter', 'dan', 'biaya', 'konsultasi', 'masyaallah', 'terjangkau', 'dan', 'ada', 'free', 'konsul', 'nantinya', 'dari', 'lifebouy']",cepat respon dokter biaya konsultasi masyaallah terjangkau free konsul lifebouy,cepat respon dokter biaya konsultasi masyaallah jangkau free konsul lifebouy
Terima kasih banyak dokðŸ™,Positif,Terima kasih banyak dok,terima kasih banyak dok,"['terima', 'kasih', 'banyak', 'dok']",terima kasih dok,terima kasih dok
Sangat membantu saya yg selalu pusing tentang kondisi kulit wajah,Positif,Sangat membantu saya yg selalu pusing tentang kondisi kulit wajah,sangat membantu saya yg selalu pusing tentang kondisi kulit wajah,"['sangat', 'membantu', 'saya', 'yg', 'selalu', 'pusing', 'tentang', 'kondisi', 'kulit', 'wajah']",membantu yg pusing kondisi kulit wajah,bantu yg pusing kondisi kulit wajah
Praktis dan cepat tidak perlu antri,Positif,Praktis dan cepat tidak perlu antri,praktis dan cepat tidak perlu antri,"['praktis', 'dan', 'cepat', 'tidak', 'perlu', 'antri']",praktis cepat antri,praktis cepat antri
Sangat membantu,Positif,Sangat membantu,sangat membantu,"['sangat', 'membantu']",membantu,bantu
sangat membantu,Positif,sangat membantu,sangat membantu,"['sangat', 'membantu']",membantu,bantu
Bagus,Positif,Bagus,bagus,['bagus'],bagus,bagus
Sangat membantu dan praktis,Positif,Sangat membantu dan praktis,sangat membantu dan praktis,"['sangat', 'membantu', 'dan', 'praktis']",membantu praktis,bantu praktis
Alhamdulillah bagus sih! Aplikasi ini bisa membantu masyarakt yg mngalami kesulitan dlm playanan kesehatn di saat para medis di sekitar msyarkt yg total brhnti krn adanya halangan brtugas! Cuma ada kendala ktika akn top up untk pembayarn obat tdk bisa trhubung jdi trpaksa mgkin harus beli obat di daerah trdekat!!! Mksih hallo dok!!!,Positif,Alhamdulillah bagus sih Aplikasi ini bisa membantu masyarakt yg mngalami kesulitan dlm playanan kesehatn di saat para medis di sekitar msyarkt yg total brhnti krn adanya halangan brtugas Cuma ada kendala ktika akn top up untk pembayarn obat tdk bisa trhubung jdi trpaksa mgkin harus beli obat di daerah trdekat Mksih hallo dok,alhamdulillah bagus sih aplikasi ini bisa membantu masyarakt yg mngalami kesulitan dlm playanan kesehatn di saat para medis di sekitar msyarkt yg total brhnti krn adanya halangan brtugas cuma ada kendala ktika akn top up untk pembayarn obat tdk bisa trhubung jdi trpaksa mgkin harus beli obat di daerah trdekat mksih hallo dok,"['alhamdulillah', 'bagus', 'sih', 'aplikasi', 'ini', 'bisa', 'membantu', 'masyarakt', 'yg', 'mngalami', 'kesulitan', 'dlm', 'playanan', 'kesehatn', 'di', 'saat', 'para', 'medis', 'di', 'sekitar', 'msyarkt', 'yg', 'total', 'brhnti', 'krn', 'adanya', 'halangan', 'brtugas', 'cuma', 'ada', 'kendala', 'ktika', 'akn', 'top', 'up', 'untk', 'pembayarn', 'obat', 'tdk', 'bisa', 'trhubung', 'jdi', 'trpaksa', 'mgkin', 'harus', 'beli', 'obat', 'di', 'daerah', 'trdekat', 'mksih', 'hallo', 'dok']",alhamdulillah bagus sih aplikasi membantu masyarakt yg mngalami kesulitan dlm playanan kesehatn medis msyarkt yg total brhnti krn halangan brtugas kendala ktika akn top up untk pembayarn obat tdk trhubung jdi trpaksa mgkin beli obat daerah trdekat mksih hallo dok,alhamdulillah bagus sih aplikasi bantu masyarakt yg mngalami sulit dlm playanan kesehatn medis msyarkt yg total brhnti krn halang brtugas kendala ktika akn top up untk pembayarn obat tdk trhubung jdi trpaksa mgkin beli obat daerah trdekat mksih hallo dok
Sangat membntu,Positif,Sangat membntu,sangat membntu,"['sangat', 'membntu']",membntu,membntu
"saldo terpotong, dokter sibuk, da belum dikembalikan",Negatif,saldo terpotong dokter sibuk da belum dikembalikan,saldo terpotong dokter sibuk da belum dikembalikan,"['saldo', 'terpotong', 'dokter', 'sibuk', 'da', 'belum', 'dikembalikan']",saldo terpotong dokter sibuk da dikembalikan,saldo potong dokter sibuk da kembali
Baik,Positif,Baik,baik,['baik'],,
Aplikasi lancar dan sangat membantu,Positif,Aplikasi lancar dan sangat membantu,aplikasi lancar dan sangat membantu,"['aplikasi', 'lancar', 'dan', 'sangat', 'membantu']",aplikasi lancar membantu,aplikasi lancar bantu
Bagus,Positif,Bagus,bagus,['bagus'],bagus,bagus
Terbantu sekali dengan aplikasi ini.,Positif,Terbantu sekali dengan aplikasi ini,terbantu sekali dengan aplikasi ini,"['terbantu', 'sekali', 'dengan', 'aplikasi', 'ini']",terbantu aplikasi,bantu aplikasi
Baik,Positif,Baik,baik,['baik'],,
Sangat membantuu,Positif,Sangat membantuu,sangat membantuu,"['sangat', 'membantuu']",membantuu,membantuu
Sangat cepat responnya,Positif,Sangat cepat responnya,sangat cepat responnya,"['sangat', 'cepat', 'responnya']",cepat responnya,cepat responnya
"Membantu banget untuk urusan hewan, bagusss bangett",Positif,Membantu banget untuk urusan hewan bagusss bangett,membantu banget untuk urusan hewan bagusss bangett,"['membantu', 'banget', 'untuk', 'urusan', 'hewan', 'bagusss', 'bangett']",membantu banget urusan hewan bagusss bangett,bantu banget urus hewan bagusss bangett
Terbaik,Positif,Terbaik,terbaik,['terbaik'],terbaik,baik
Dokter nya ramah,Positif,Dokter nya ramah,dokter nya ramah,"['dokter', 'nya', 'ramah']",dokter nya ramah,dokter nya ramah
Sangat membantu,Positif,Sangat membantu,sangat membantu,"['sangat', 'membantu']",membantu,bantu
Respon sangat cepat,Positif,Respon sangat cepat,respon sangat cepat,"['respon', 'sangat', 'cepat']",respon cepat,respon cepat
"Bagus terutama di tengah malam. Blh ditambah menu utk menilai driver atau kasih tips utk driver dong min. Kasihan para pejuang receh klo gk diapresiasi, krn masnya baik bgt, jdnya ngasih tunai deh dan kebetulan lg ada pegang uang tunai.. tp uang tunai gak selalu ada loh jaman skrg yg semua serba Qris",Positif,Bagus terutama di tengah malam Blh ditambah menu utk menilai driver atau kasih tips utk driver dong min Kasihan para pejuang receh klo gk diapresiasi krn masnya baik bgt jdnya ngasih tunai deh dan kebetulan lg ada pegang uang tunai tp uang tunai gak selalu ada loh jaman skrg yg semua serba Qris,bagus terutama di tengah malam blh ditambah menu utk menilai driver atau kasih tips utk driver dong min kasihan para pejuang receh klo gk diapresiasi krn masnya baik bgt jdnya ngasih tunai deh dan kebetulan lg ada pegang uang tunai tp uang tunai gak selalu ada loh jaman skrg yg semua serba qris,"['bagus', 'terutama', 'di', 'tengah', 'malam', 'blh', 'ditambah', 'menu', 'utk', 'menilai', 'driver', 'atau', 'kasih', 'tips', 'utk', 'driver', 'dong', 'min', 'kasihan', 'para', 'pejuang', 'receh', 'klo', 'gk', 'diapresiasi', 'krn', 'masnya', 'baik', 'bgt', 'jdnya', 'ngasih', 'tunai', 'deh', 'dan', 'kebetulan', 'lg', 'ada', 'pegang', 'uang', 'tunai', 'tp', 'uang', 'tunai', 'gak', 'selalu', 'ada', 'loh', 'jaman', 'skrg', 'yg', 'semua', 'serba', 'qris']",bagus malam blh ditambah menu utk menilai driver kasih tips utk driver min kasihan pejuang receh klo gk diapresiasi krn masnya bgt jdnya ngasih tunai deh lg pegang uang tunai tp uang tunai gak loh jaman skrg yg serba qris,bagus malam blh tambah menu utk nilai driver kasih tips utk driver min kasihan juang receh klo gk apresiasi krn mas bgt jdnya ngasih tunai deh lg pegang uang tunai tp uang tunai gak loh jaman skrg yg serba qris
Sanagat membatu,Positif,Sanagat membatu,sanagat membatu,"['sanagat', 'membatu']",sanagat membatu,sanagat batu
Mantap,Positif,Mantap,mantap,['mantap'],mantap,mantap
Mumudahkan,Positif,Mumudahkan,mumudahkan,['mumudahkan'],mumudahkan,mumudahkan
Baik,Positif,Baik,baik,['baik'],,
Penjelasan bagus,Positif,Penjelasan bagus,penjelasan bagus,"['penjelasan', 'bagus']",penjelasan bagus,jelas bagus
Baik,Positif,Baik,baik,['baik'],,
